SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),212716018.2,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001002,减:利息收入,3578218.56,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001003,加:利息支出,288810577.08,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001007,减:重估盈余,181345487.16,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,9958634.16,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001011,加:购股权开支,20372.88,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,71243961.36,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,397825857.96,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,10196626.44,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),-1014013.8,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,407008470.6,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003002,已付利息(经营),289744025.4,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003003,已付税项,11001355.2,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,106263090.0,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005001,已收利息(投资),3605073.72,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,47503999.92,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,-43898926.2,W
01270.HK,01270,朗廷-SS,10321431,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,006999,融资前现金净额,62364163.8,W
